"Understanding, Deconstructing, and Reconstructing","理解，解构和重建"
"\""Hello there!\"" - General Kenobi","“嗨，你们好！” - General Kenobi"
"Tier 3 Glyphs","3级魔符"
"Netherite Space Suit","下界合金太空服"
"Craft the &bDeep Learner&r, bind your &6Model Framework&r to a mob, place it in your &bDeep Learner&r and start killing said mobs","制作&b深度学习器&r，将&6空白数据模型&r与一个生物绑定，然后把模型放进&b深度学习器&r中就可以开始击杀绑定的生物了"
"You can also rarely find &6dungeons&r and &6Lunarian villages&r!","你也可以找到罕见的&6地牢&r和&6月球村庄&r！"
"&bSoul engulfing&r is performed by lighting soul sand on fire and throwing items into it to convert them, similar to &eOccultism's&r spirit fire. Pay attention to the multiblock shown in the recipe as this is required to allow the items to be properly engullfed. Throwing items into an incorrect structure will result in them burning! ","&b灵魂吞噬&r是在灵魂沙上打火，再把物品扔进去转化的过程。类似于&e神秘学&r的灵火。注意配方中显示的多方块结构，这是物品转化所必需的。将物品扔入不正确的结构会导致它们烧掉！"
"The &bBotanist Table&r will customize a variety of plants as well as the dirt, sand and gravel.","&b植物学家工作台&r可以自定义各种植物以及泥土、沙子和砂砾。"
"Seems that the &bFractioning Still&r is the perfect candidate for this task","看起来&b流体精炼机&r是这项任务的完美候选人。"
"Things you should know","您应该知道的事情"
"Legally distinct","法律上有区别"
"With the Pure Daisy, you can convert materials into magical materials for use in &eBotania&r and &eElementalcraft&r. e.","有了白雏菊，你可以将材料转化为魔法材料，用于&e植物魔法&r和&e元素工艺&r，或者别的。"
"Magic Leggings","魔法护腿"
"By making the &bContained Crystal&r, you can enhance its conductivity and make it more receptive to elemental energies.","通过制作&b稳定水晶&r，你可以增强它的传导性，让它更容易接受元素能量"
"&ePrimitive Slurry&r comes from melting &e4 Gravel in a Mixer&r that has been &nheated by a Blaze Burner&r. ","&e基浆&r通过&e在动力搅拌机中融化4个砂砾&r获得。该配方还需&n烈焰人燃烧室加热&r。"
"You got a lot on your plate, huh?","铁板板，躺板板"
"[\""\"",\""Be sure to also check out the \\n\"",{\""text\"":\""[ Elementalcraft ]\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 23EED105DF68860B\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Take me to the Chapter\""]}},\"" Chapter\""]","[\""\"",\""确保已经查看 \\n\"",{\""text\"":\""[ 元素工艺 ]\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 23EED105DF68860B\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""查看章节\""]}},\"" 章节\""]"
"Using an &6Andesite Mesh&r to sift &6Crushed Netherrack&r has a chance of dropping &bthese materials&r.","用&6安山合金筛网&r筛&6粉碎下界岩&r有几率掉落&b这些材料&r。"
"Its Genesis all over again!","它的创世纪再临！"
"[\""\"",\""For more information on these Meshes, see the \"",{\""text\"":\""Ex Nihil\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""change_page\"",\""value\"":\""765CE56E943A0E79\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Ex Nihil chapter\""]}},\"" chapter.\""]","[\""\"",\""欲了解更多筛网信息，请查看\"",{\""text\"":\""无中生有\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""change_page\"",\""value\"":\""765CE56E943A0E79\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""无中生有章节\""]}},\""章节。\""]"
"The strength of the magnetic force is tiered to different magnets and will improve the output of your generator coils when you are able to upgrade to better magnets. Once you've surrounded your generator coil with magnets you apply a carbon brush to it and a source of SU. This will cause the coil to spin and generate energy. ","不同磁体的磁力强度有不同等级。当您升级到更好的磁体时，发电机线圈的输出功率将会提高。用磁铁将发电机线圈包围起来，在线圈上安装碳刷并提供应力，线圈就会旋转起来并产生能量"
"Arcane Creatio","奥术创世"
"Wool","羊毛"
"Look at a sheep","看着一只羊"
"The &bBrass Funnel&r works like the Andesite version, but &6can be filtered&r!","&b黄铜漏斗&r的工作原理与安山岩版本相同，但可以进行&6过滤&r！"
"Make a Particle \\& Render Upgrade","制作粒子和渲染增强"
"When a Button is requested but none are available, the Interceptor will emit a Redstone Pulse, this activates the Funnel, which will send the Stone to the Crafty Crate, &6which will craft the Button and drop it out the bottom&r.","当请求按钮但却没有按钮时，拦截器将发出红石脉冲，激活漏斗把石头发送到机巧箱，&6就会制作按钮并将其从底部丢出&r"
"Fin.","完结"
"First, place the armor, then the Threads, then remove the armor.","首先放置护甲，然后是纤维，最后拿出护甲。"
"Its Pedestal must be &6placed on specific blocks&r, and it will passively generate a material based on that.","基座必须&6放置在特定方块上&r，并以此为基础被动地生成材料"
"Elementalcraft Runes","元素工艺符文"
"Tools of Legend","传说的工具"
"Enable Centipede Spawn","启用蜈蚣生成"
"The &bFridge&r is another storage location, but has two &6very useful upgrades&r. Their functions are in their tooltip.","冰箱是另一种存储地点，但有两个非常有用的升级，提示文本描写了它们的功能。"
"For the next quest, you will need &aLiquid EXP&r (here called &aCognitium&r)","下个任务，你需要&a液体经验&r（这里叫&a知识&r）"
"Make a Pressurized Reaction Chamber","制作加压反应室"
"The &bRound Robin Augment&r changes that, so things are first sent to the first linked Pedestal, then the second linked Pedestal, and so on.","&b循环增强&r改变了这一点，东西会先发送到第一个链接的基座，然后再发送到第二个链接的基座，以此类推"
"Drenched Metal, not Rust!","浸润的金属，并不是生锈！"
"Toil Soil","为土奋斗"
"Progression","进度"
"Air moves from high-pressure areas to low-pressure areas and will try to equalize throughout the system.","空气会从高压区域流向低压区域，并试图在整个系统中达到平衡"
"Buffer","缓存器"
"Breathe easy","轻松呼吸"
"The mod &eEasy Villagers&r adds a bunch of convenient blocks to automate Villager functions!","&e简单村民&r模组添加了许多方便的方块，可自动执行村民功能！"
"Can optionally be heated above","可以选择加热"
"Infused Mesh","灌注筛网"
"Used together, this allows you to &6keep a pen of breeding adults&r, and automatically grab the babies that are created.","两个机器配合使用，可让你&6保持动物圈养&r，并自动分离产生的动物幼崽"
"The color is mostly a preference. While they all produce the same wood for your recipes, the different Types of Logs are needed in various &dArs Nouveau&r Recipes.","颜色只是偏好，它们在配方上是等价的。各种类型的原木在&d新生魔艺&r的配方中都需要。"
"These can be used to craft various Overworld Resources like Ender Pearls, Chorus Fruit... And even Nether Stars!","可以用来制作各种末地资源，比如末影珍珠、紫颂果……甚至下界之星！"
"It's all coming together","集中控制"
"The &bPlant Fertilizer&r will &6fertilize crops&r using Bone Meal or Fertilizer.","&b施肥机&r使用骨粉或肥料&6施肥&r"
"Certain tasks don't just need you to &ohave&r something, you have to &6submit it&r.","某些任务不仅需要你拥有物品，你还必须&6提交它&r"
"Use the empty blaze burner on a blaze by right clicking it on them. This will capture the blaze and allow you to use its heat to drive your recipes.","手持空的烈焰人燃烧室右键点击烈焰人。这样就能捕捉烈焰人，让您可以利用它的热量来推动合成配方"
"Use a &bLinking Tool&r on the Storage Controller to set it, then click it on other Drawers in an &68 block radius&r to connect them. They do not have to be touching.","在存储控制器上使用&b连接工具&r设置，然后单击&68格半径内&r的其他抽屉连接。之间不需要相邻。"
"&bReaper Generators&r are a very unique way of both &6generating FE&r and &6killing mobs&r.","&b灵魂发电机&r是&6产生FE&r和&6杀死生物&r的一种非常独特的方法"
"If you provide the right payment of moon dust, you might be able to &bbuy what allows them to traverse&r the sky...","只要你能提供一定的月尘，就能能&b买到一些可以翱翔于&r天空的东西……"
"It all starts here. By making reinforced stone you can create a material strong enough to withstand high pressures. ","一切从这里开始。通过强化石，你可以创造出一种足以承受高压的材料"
"Random Bookshelf","随机书架"
"In FTB Skies Expert we have a bunch of Events happening that occur during your gameplay.","在FTB Skies Expert中， 有一堆事件在你游玩过程中发生。"
"BaBee don't hurt me","小蜜蜂不要伤害我"
"Black Hole Tanks","黑洞储液罐"
"This can be used in tandem with the &6Corporea Funnel&r to craft items that you are out of. For example, place a 1x1 &6Crafty Crate&r, place a &6Hopper&r aimed at it, place a &6Corporea Funnel&r with a Spark and an Item Frame (with Stone placed in it), and then place a &6Corporea Interceptor&r with a Spark and an Item Frame with a Button on top of &othat&r.","该功能可与&6多媒体漏斗&r配合使用来制作您缺少的物品。例如，放置一个1x1&6机巧箱&r，放置一个&6漏斗&r对准它，放置一个有火花和物品展示框&6多媒体漏斗&r（展示石头），然后放置一个有火花和物品展示框的&6多媒体拦截器&r，在拦截器顶部放置一个按钮"
"Ritual Tablets","仪式石板"
"The &bMillstone&r is one of the first methods to automatically crush items.","&b石磨&r是最早自动粉碎物品的方法之一"
"Using Bone Meal on Grass can grow a variety of &6flowers, seeds, and roots&r.","在草方块上使用骨粉可以长出各种&6花、种子和根&r。"
"Somewhere out there...","在某处…"
